index ,smarts,smiles,ionization_center_id,acid_or_base,,
28,"[PX4:0](=[O:1])(-[OX2:2]-[C,c,N,n, F,Cl,Br,I:3])(-[C,c,N,n,F,Cl,Br,I:4])-[ OX2:5]-[H:6]",COP(C)(=O)O,6,A ,,
28,"[PX4:0](=[O:1])(-[OX2:2]-[C,c,N,n, F,Cl,Br,I:3])(-[C,c,N,n,F,Cl,Br,I:4])-[ OX2:5]-[H:6]",NOP(N)(=O)O,6,A ,,
28,"[PX4:0](=[O:1])(-[OX2:2]-[C,c,N,n, F,Cl,Br,I:3])(-[C,c,N,n,F,Cl,Br,I:4])-[ OX2:5]-[H:6]",O=P(O)(F)OF,6,A ,,
28,"[PX4:0](=[O:1])(-[OX2:2]-[C,c,N,n, F,Cl,Br,I:3])(-[C,c,N,n,F,Cl,Br,I:4])-[ OX2:5]-[H:6]",O=P(O)(Cl)OCl,6,A ,,
28,"[PX4:0](=[O:1])(-[OX2:2]-[C,c,N,n, F,Cl,Br,I:3])(-[C,c,N,n,F,Cl,Br,I:4])-[ OX2:5]-[H:6]",O=P(O)(Br)OBr,6,A ,,
28,"[PX4:0](=[O:1])(-[OX2:2]-[C,c,N,n, F,Cl,Br,I:3])(-[C,c,N,n,F,Cl,Br,I:4])-[ OX2:5]-[H:6]",O=P(O)(I)OI,6,A ,,
28,"[PX4:0](=[O:1])(-[OX2:2]-[C,c,N,n, F,Cl,Br,I:3])(-[C,c,N,n,F,Cl,Br,I:4])-[ OX2:5]-[H:6]",CP(=O)(O)OI,6,A ,,
28,"[PX4:0](=[O:1])(-[OX2:2]-[C,c,N,n, F,Cl,Br,I:3])(-[C,c,N,n,F,Cl,Br,I:4])-[ OX2:5]-[H:6]",COP(=O)(O)I,6,A ,,
28,"[PX4:0](=[O:1])(-[OX2:2]-[C,c,N,n, F,Cl,Br,I:3])(-[C,c,N,n,F,Cl,Br,I:4])-[ OX2:5]-[H:6]",CP(=O)(O)OBr,6,A ,,
28,"[PX4:0](=[O:1])(-[OX2:2]-[C,c,N,n, F,Cl,Br,I:3])(-[C,c,N,n,F,Cl,Br,I:4])-[ OX2:5]-[H:6]",COP(=O)(O)Br,6,A ,,
28,"[PX4:0](=[O:1])(-[OX2:2]-[C,c,N,n, F,Cl,Br,I:3])(-[C,c,N,n,F,Cl,Br,I:4])-[ OX2:5]-[H:6]",CP(=O)(O)OCl,6,A ,,
28,"[PX4:0](=[O:1])(-[OX2:2]-[C,c,N,n, F,Cl,Br,I:3])(-[C,c,N,n,F,Cl,Br,I:4])-[ OX2:5]-[H:6]",COP(=O)(O)Cl,6,A ,,
28,"[PX4:0](=[O:1])(-[OX2:2]-[C,c,N,n, F,Cl,Br,I:3])(-[C,c,N,n,F,Cl,Br,I:4])-[ OX2:5]-[H:6]",CP(=O)(O)OF,6,A ,,
28,"[PX4:0](=[O:1])(-[OX2:2]-[C,c,N,n, F,Cl,Br,I:3])(-[C,c,N,n,F,Cl,Br,I:4])-[ OX2:5]-[H:6]",COP(=O)(O)F,6,A ,,
28,"[PX4:0](=[O:1])(-[OX2:2]-[C,c,N,n, F,Cl,Br,I:3])(-[C,c,N,n,F,Cl,Br,I:4])-[ OX2:5]-[H:6]",COP([N])(=O)O,6,A ,,
28,"[PX4:0](=[O:1])(-[OX2:2]-[C,c,N,n, F,Cl,Br,I:3])(-[C,c,N,n,F,Cl,Br,I:4])-[ OX2:5]-[H:6]",CP(=O)(O)O[N],6,A ,,
29,[n:0]-[H:1],N[H],1,A ,,
30,"[PX4:0](=[O:1])(=[O:2])(-[C,c,N,n:3 ])-[OX2:4]-[H:5]",N[P](=O)(=O)O,5,A ,,
30,"[PX4:0](=[O:1])(=[O:2])(-[C,c,N,n:3 ])-[OX2:4]-[H:5]",C[P](=O)(=O)O,5,A ,,
31,"[C:0](-[C,c:1])=[NX2:2]-[O:3]-[H:4]",CC=NO,4,A ,,
32,[CX4:0]-[NX3:1](-[H:2])-[CX3:3](= [NX2:4])-[SH:5],CNC(=N)S,2,A ,,
33,[CX3:0](=[OX1:1])-[CX4:2]-[NX3:3 ](-[H:4])-[cX3:5],CNCC=O,4,A ,,
34,[CX3:0](=[OX1:1])-[CX4:2]-[NX3H 1:3](-[H:4])-[CX3:5]=[NX2H0:6],N=CNCC=O,4,A ,,
35,[NX3:0](-[H:1])-[C:2]=[C:3]-[C:4](= [O:5])-[C:6]-[O:7],*NC=CC(=O)CO,1,A ,,
36,"[c:0]-[NX3:1](-[H:2])-[C,n:3]",CNC,2,A ,,
